operation,preset,q,repetitions,median_eval_ms,mean_eval_ms,median_eval_compact_decrypt_ms,mean_eval_compact_decrypt_ms,expected,verified,note
zero,c4_projective_toy_clean,7,30,0.0244865,0.02507296666666667,0.215438,0.22023026666666667,0,True,public zero in expanded form
one,c4_projective_toy_clean,7,30,0.062347,0.06476696666666666,0.4384565,0.4586863,1,True,public one in expanded form
const_4,c4_projective_toy_clean,7,30,0.061760999999999996,0.06298223333333333,0.43378,0.4355583333333333,4,True,public constant beta I
add,c4_projective_toy_clean,7,30,0.0590265,0.0601064,0.9679580000000001,0.9699011,1,True,encrypted addition
sub,c4_projective_toy_clean,7,30,0.0592675,0.06161016666666667,1.043134,1.0532923333333333,2,True,encrypted subtraction
neg,c4_projective_toy_clean,7,30,0.046533500000000005,0.048539900000000004,0.781002,0.7858378,2,True,encrypted negation
scalar_mul_4,c4_projective_toy_clean,7,30,0.045621999999999996,0.0461677,0.7529060000000001,0.7649864333333333,6,True,public scalar multiplication
add_plain_6,c4_projective_toy_clean,7,30,0.117328,0.11748839999999999,0.886603,0.8930686999999999,4,True,add public plaintext
mul,c4_projective_toy_clean,7,30,0.19175750000000003,0.19851973333333334,1.385925,1.4152156333333332,1,True,encrypted multiplication
square,c4_projective_toy_clean,7,30,0.190957,0.20057930000000002,1.334935,1.3622820333333334,4,True,encrypted square
pow3,c4_projective_toy_clean,7,30,0.554308,0.5581470000000001,1.8272015,1.8419699333333333,6,True,public exponentiation by 3
inverse_nonzero,c4_projective_toy_clean,7,30,1.053379,1.0780204,2.456099,2.4921206666666667,3,True,Fermat inverse; small q only
div_nonzero,c4_projective_toy_clean,7,30,1.5315750000000001,1.5666738333333332,3.049219,3.1143982,4,True,nonzero division by inverse
bool_not_1,c4_projective_toy_clean,7,30,0.121154,0.1262706,0.6501494999999999,0.6646005666666667,0,True,NOT(1) over bit encoding
bool_and_10,c4_projective_toy_clean,7,30,0.199179,0.21839453333333333,1.268917,1.4153846666666667,0,True,AND over bit encoding
bool_or_10,c4_projective_toy_clean,7,30,0.33881,0.3627532333333333,1.2391385,1.3506675333333333,1,True,OR over bit encoding
bool_xor_10,c4_projective_toy_clean,7,30,0.38989050000000003,0.3936629,1.404703,1.4307092666666668,1,True,XOR over bit encoding
