operation,trial,ok,expected,got,build_eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz
add,0,True,2,2,0.00044360399988363497,0.000956240999585134,0.001399844999468769,4,139
add,1,True,1,1,0.00037381199945230037,0.000962739999522455,0.0013365519989747554,4,134
add,2,True,2,2,0.00034187399978691246,0.0007657299993297784,0.0011076039991166908,4,140
add,3,True,0,0,0.00034474900166969746,0.0009950379990186775,0.001339787000688375,4,135
add,4,True,5,5,0.0003567460007616319,0.0008435049985564547,0.0012002509993180865,4,136
sub,0,True,4,4,0.00033003700082190335,0.0006426380004995735,0.0009726750013214769,4,129
sub,1,True,6,6,0.0003390810015844181,0.0009120959985011723,0.0012511770000855904,4,133
sub,2,True,3,3,0.0003204219992767321,0.0007696560005570063,0.0010900779998337384,4,130
sub,3,True,4,4,0.0005020000007789349,0.000911015000383486,0.001413015001162421,4,134
sub,4,True,3,3,0.00033310099934169557,0.0011724809992301743,0.00150558199857187,4,140
neg,0,True,1,1,0.0002684859991859412,0.0007520600011048373,0.0010205460002907785,3,110
neg,1,True,4,4,0.00021854300030099694,0.000780992000727565,0.000999535001028562,3,103
neg,2,True,5,5,0.00018345100033911876,0.0009761599994817516,0.0011596109998208703,3,100
neg,3,True,4,4,0.00028705300064757466,0.0009009699988382636,0.0011880229994858382,3,109
neg,4,True,5,5,0.00019516800057317596,0.0005254449988569831,0.0007206129994301591,3,106
scalar_mul,0,True,3,3,0.0001720140007819282,0.0006318819996522507,0.0008038960004341789,3,100
scalar_mul,1,True,2,2,0.00022215799981495366,0.0006478760005848017,0.0008700340003997553,3,105
scalar_mul,2,True,4,4,0.00017786299940780737,0.0006585209994227625,0.0008363839988305699,3,94
scalar_mul,3,True,4,4,0.00018958000146085396,0.0005049049996159738,0.0006944850010768278,3,101
scalar_mul,4,True,6,6,0.00019294499907118734,0.0006850500012660632,0.0008779950003372505,3,110
add_const,0,True,6,6,0.0001947979999386007,0.0005202669999562204,0.0007150649998948211,4,113
