operation,trial,ok,expected,got,build_eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz,max_c7_compaction_terms,mean_c7_compaction_terms
add,0,True,2,2,0.0004091119999429793,0.0009135310001511243,0.0013226430000941036,4,131,4,3.6666666666666665
add,1,True,2,2,0.0003666289999273431,0.0008544580000489077,0.0012210869999762508,4,137,4,4
add,2,True,4,4,0.0003209189999324735,0.0007080450000103156,0.001028963999942789,4,125,4,3.3333333333333335
sub,0,True,6,6,0.00033101200006058207,0.0007113830001799215,0.0010423950002405036,4,115,4,3.3333333333333335
sub,1,True,5,5,0.0003318859999126289,0.0008124790001602378,0.0011443650000728667,4,140,4,4
sub,2,True,3,3,0.00035925099973610486,0.0006163349999042111,0.000975585999640316,4,128,3,2.6666666666666665
neg,0,True,2,2,0.00020085500000277534,0.000668193000365136,0.0008690480003679113,3,106,3,3
neg,1,True,6,6,0.00030765099972995813,0.0006578350003110245,0.0009654860000409826,3,109,3,2.6666666666666665
neg,2,True,2,2,0.00021688700007871375,0.0006488760000138427,0.0008657630000925565,3,110,3,3
scalar_mul,0,True,6,6,0.00020717400002467912,0.0008960509999269561,0.0011032249999516353,3,107,3,3
scalar_mul,1,True,3,3,0.00020705899987660814,0.0007602810001117177,0.0009673399999883259,3,104,3,3
scalar_mul,2,True,3,3,0.00017925100019056117,0.0005935529998168931,0.0007728040000074543,3,96,3,2.6666666666666665
add_const,0,True,5,5,0.00023406799982694793,0.00060258600024099,0.0008366540000679379,4,134,3,2.6666666666666665
add_const,1,True,5,5,0.00023837399976400775,0.0006165230001897726,0.0008548969999537803,4,119,3,2.6666666666666665
add_const,2,True,1,1,0.0002143259998774738,0.0005113070001243614,0.0007256330000018352,4,122,2,2
mul,0,True,0,0,0.0004488270001274941,0.0008491369999319431,0.0012979640000594372,7,182,5,4.333333333333333
mul,1,True,0,0,0.0004393290000734851,0.0009833049998633214,0.0014226339999368065,7,184,6,5
mul,2,True,1,1,0.0004705169999397185,0.001162174999990384,0.0016326919999301026,7,201,7,6.333333333333333
square,0,True,2,2,0.00032984900008159457,0.0010439769998811244,0.001373825999962719,7,214,7,5.666666666666667
square,1,True,2,2,0.00032267100004901295,0.0008112270002129662,0.0011338980002619792,6,193,5,4
square,2,True,0,0,0.0002764539999589033,0.000707012000020768,0.0009834659999796713,7,164,5,3.3333333333333335
affine,0,True,4,4,0.0005219959998612467,0.0007540550000157964,0.001276050999877043,5,155,4,3.6666666666666665
affine,1,True,0,0,0.0005194469999878493,0.0008641379999971832,0.0013835849999850325,5,170,4,4
affine,2,True,4,4,0.0005200800001148309,0.0008218339999075397,0.0013419140000223706,5,163,4,4
dot4,0,True,4,4,0.0010164059999624442,0.000863811999806785,0.0018802179997692292,7,165,6,4.333333333333333
dot4,1,True,2,2,0.0009760880002431804,0.0010650310000528407,0.002041119000296021,7,198,6,5
dot4,2,True,3,3,0.0012865940002484422,0.000992719999885594,0.002279314000134036,7,194,5,4.666666666666667
poly2,0,True,3,3,0.0006669519998467877,0.0010746640000434127,0.0017416159998902003,9,191,6,5
poly2,1,True,0,0,0.0007207080002444854,0.0011613869996836002,0.0018820949999280856,9,235,7,5.333333333333333
poly2,2,True,3,3,0.0007327210000767082,0.0010602010002003226,0.0017929220002770307,9,227,5,4.666666666666667
product4,0,True,2,2,0.0015046299999994517,0.0016662809998706507,0.0031709109998701024,12,328,11,9
product4,1,True,0,0,0.0012660219999816036,0.0011149960000693682,0.0023810180000509718,11,286,8,6
product4,2,True,4,4,0.001567182999679062,0.0015642289999959758,0.003131411999675038,12,379,10,9
quadratic_form,0,True,2,2,0.0010035370000878174,0.001250759999948059,0.0022542970000358764,10,258,8,7
quadratic_form,1,True,1,1,0.0010729440000432078,0.0015409950001412653,0.002613939000184473,10,291,10,8.666666666666666
quadratic_form,2,True,3,3,0.0012643949999073811,0.0015915600001790153,0.0028559550000863965,10,256,7,6.333333333333333
and,0,True,1,1,0.0004657950003092992,0.0007791799998813076,0.0012449750001906068,7,190,5,3.6666666666666665
and,1,True,0,0,0.0004922029997942445,0.0010228539999843633,0.0015150569997786079,7,208,6,5.333333333333333
and,2,True,1,1,0.00047044999973877566,0.001138683000135643,0.0016091329998744186,7,206,7,6
or,0,True,1,1,0.0006279770000219287,0.0011664680000649241,0.0017944450000868528,8,215,6,5.666666666666667
or,1,True,1,1,0.0006291519998740114,0.0010851900001398462,0.0017143420000138576,9,237,6,5.666666666666667
or,2,True,0,0,0.0005506019997483236,0.0010231860001113091,0.0015737879998596327,9,231,6,5.333333333333333
xor,0,True,1,1,0.0006139669999356556,0.0009182550002151402,0.0015322220001507958,9,222,5,4.666666666666667
xor,1,True,0,0,0.0006803129999752855,0.0011526600001161569,0.0018329730000914424,9,249,7,6
xor,2,True,0,0,0.0006660640001427964,0.0012726720001410285,0.001938736000283825,9,247,7,7
not,0,True,1,1,0.00023620000001756125,0.0005590570003732864,0.0007952570003908477,4,128,3,2.3333333333333335
not,1,True,1,1,0.0002589000000625674,0.0005967929996586463,0.0008556929997212137,4,131,3,2.6666666666666665
not,2,True,1,1,0.00021895100007895962,0.0006147639996925136,0.0008337149997714732,4,124,3,2.6666666666666665
nand,0,True,1,1,0.0005485500000759203,0.0008435519998784002,0.0013921019999543205,8,188,6,4.333333333333333
nand,1,True,1,1,0.0005077179998806969,0.0008107310000013968,0.0013184489998820936,7,168,5,4
nand,2,True,1,1,0.00054237699987425,0.001311893000092823,0.001854269999967073,8,207,7,5.333333333333333
nor,0,True,1,1,0.001240402999883372,0.0012484170001698658,0.002488820000053238,9,236,7,5.666666666666667
nor,1,True,0,0,0.0007585900002595736,0.0013990150000608992,0.0021576050003204728,9,248,6,6
nor,2,True,1,1,0.0007816390002517437,0.00110306499982471,0.0018847040000764537,9,248,7,6
xnor,0,True,1,1,0.0007913600002211751,0.0013077439998596674,0.0020991040000808425,9,239,7,6.333333333333333
xnor,1,True,1,1,0.0008565169996472832,0.0013141110002834466,0.00217062799993073,9,260,7,6.333333333333333
xnor,2,True,0,0,0.0008702950003680598,0.0012597339996318624,0.0021300289999999222,10,240,8,6
implies,0,True,0,0,0.0005858010003976233,0.0010083049996865157,0.001594106000084139,8,217,6,5.333333333333333
implies,1,True,1,1,0.0005624410000564239,0.0010710339997785923,0.0016334749998350162,8,208,7,5.666666666666667
implies,2,True,1,1,0.0006437319998440216,0.001204911000058928,0.0018486429999029497,8,252,8,6.666666666666667
