operation,trial,ok,expected,got,build_eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz
add,0,True,6,6,0.0004061399995407555,0.0010172410002269316,0.0014233809997676872,4,127
add,1,True,2,2,0.0003935210006602574,0.0013489100001606857,0.0017424310008209432,4,134
add,2,True,0,0,0.0005081599992990959,0.0008520970004610717,0.0013602569997601677,4,140
sub,0,True,2,2,0.0003352740004629595,0.0008546210010536015,0.001189895001516561,4,139
sub,1,True,1,1,0.000340402000801987,0.0009986339991883142,0.0013390359999903012,4,136
sub,2,True,5,5,0.0003484640001261141,0.0009693610008980613,0.0013178250010241754,4,140
neg,0,True,1,1,0.0002449610001349356,0.0006491280000773259,0.0008940890002122615,3,110
neg,1,True,2,2,0.0001945669991982868,0.0006423470003937837,0.0008369139995920705,3,105
neg,2,True,6,6,0.0001868660001491662,0.0006492079992312938,0.00083607399938046,3,106
scalar_mul,0,True,3,3,0.00017011099953379016,0.0006433390008169226,0.0008134500003507128,3,100
scalar_mul,1,True,0,0,0.00018975000057253055,0.0006968379984755302,0.0008865879990480607,3,108
scalar_mul,2,True,3,3,0.00018339999951422215,0.0007595610004500486,0.0009429609999642707,3,108
add_const,0,True,5,5,0.0002288979994773399,0.0007364160010183696,0.0009653140004957095,4,141
add_const,1,True,6,6,0.0002294790010637371,0.0008631229993625311,0.0010926020004262682,3,110
add_const,2,True,1,1,0.00022814699877926614,0.0007101280007191235,0.0009382749994983897,4,137
mul,0,True,0,0,0.0004542899987427518,0.0011713479998434195,0.0016256379985861713,7,183
mul,1,True,3,3,0.000498716000947752,0.001104163999116281,0.001602880000064033,7,162
mul,2,True,3,3,0.0005325260008248733,0.0010268850001011742,0.0015594110009260476,7,164
square,0,True,2,2,0.0003345540008012904,0.0012390379997668788,0.0015735920005681692,7,200
square,1,True,0,0,0.0003649480004241923,0.0014165499997034203,0.0017814980001276126,7,206
square,2,True,2,2,0.0003569270011212211,0.0013696499991056044,0.0017265770002268255,7,222
affine,0,True,3,3,0.0005546479987970088,0.0011037490003218409,0.0016583969991188496,5,173
affine,1,True,0,0,0.0006569990000571124,0.0008057190007093595,0.001462718000766472,5,156
affine,2,True,2,2,0.0005701019999833079,0.0008504040015395731,0.001420506001522881,5,168
dot4,0,True,3,3,0.0009799159997783136,0.0009627109993743943,0.0019426269991527079,6,180
dot4,1,True,6,6,0.001014426999972784,0.0011372879998816643,0.0021517149998544483,7,207
dot4,2,True,0,0,0.0009802559998206561,0.0008803189994068816,0.0018605749992275378,7,202
poly2,0,True,0,0,0.0006896670001879102,0.0011615140010690084,0.0018511810012569185,9,263
poly2,1,True,6,6,0.0006119629997556331,0.0009217799997713882,0.0015337429995270213,8,201
poly2,2,True,5,5,0.0006584120001207339,0.0011128919995826436,0.0017713039997033775,9,246
product4,0,True,0,0,0.001359235999188968,0.0014483869999821763,0.0028076229991711443,12,351
product4,1,True,5,5,0.0013777120002487209,0.001678796999840415,0.003056509000089136,12,330
product4,2,True,0,0,0.0013242740005807718,0.0013016100001550512,0.002625884000735823,12,289
quadratic_form,0,True,4,4,0.001174001999970642,0.0013466969994624378,0.0025206989994330797,9,264
quadratic_form,1,True,2,2,0.0010405149987491313,0.0014077670002734521,0.0024482819990225835,8,225
quadratic_form,2,True,3,3,0.0015178600006038323,0.0012856359990109922,0.0028034959996148245,9,261
and,0,True,0,0,0.0004645549997803755,0.0009500519990979228,0.0014146069988782983,7,174
and,1,True,1,1,0.0004796070006705122,0.0010316829993826104,0.0015112900000531226,7,185
and,2,True,1,1,0.0004684709983848734,0.0010307910015399102,0.0014992619999247836,7,172
or,0,True,0,0,0.0005723640006181085,0.0009867959997791331,0.0015591600003972417,8,218
or,1,True,1,1,0.0006279860008362448,0.000536010998985148,0.0011639969998213928,8,205
or,2,True,1,1,0.0005871960001968546,0.001150206999227521,0.0017374029994243756,8,231
xor,0,True,1,1,0.0008192490004148567,0.001189804999739863,0.0020090540001547197,9,242
xor,1,True,0,0,0.0005646129993692739,0.001189534999866737,0.001754147999236011,7,209
xor,2,True,0,0,0.000761052999223466,0.0010111020001204452,0.0017721549993439112,9,229
not,0,True,1,1,0.00024290799956361298,0.0006893580011819722,0.0009322660007455852,4,131
not,1,True,0,0,0.00023687900102231652,0.0005861249992449302,0.0008230040002672467,4,135
not,2,True,1,1,0.00024136600040947087,0.0006123839993961155,0.0008537499998055864,4,130
nand,0,True,1,1,0.0005176939994271379,0.000938565000978997,0.0014562590004061349,7,195
nand,1,True,1,1,0.0006067949998396216,0.001160732999778702,0.0017675279996183235,7,198
nand,2,True,1,1,0.0005498110003827605,0.0012549120001494884,0.001804723000532249,7,213
nor,0,True,0,0,0.0007207639991975157,0.0010420470007375116,0.0017628109999350272,9,246
nor,1,True,0,0,0.0008116769986372674,0.0008591180012444966,0.001670794999881764,8,238
nor,2,True,1,1,0.0007849880003050203,0.001215883999975631,0.0020008720002806513,9,242
xnor,0,True,0,0,0.0008345710011781193,0.0010093589989992324,0.0018439300001773518,9,266
xnor,1,True,1,1,0.0008122089984681224,0.0013446440007101046,0.002156852999178227,9,214
xnor,2,True,0,0,0.0008591169989813352,0.0014865230004943442,0.0023456399994756794,9,260
implies,0,True,1,1,0.0007374280012300005,0.0012230039992573438,0.0019604320004873443,9,243
implies,1,True,0,0,0.0006911300006322563,0.0010813349999807542,0.0017724650006130105,10,229
implies,2,True,1,1,0.0007584089998999843,0.0012231349992362084,0.0019815439991361927,8,222
