base,q,N,n_c,m_c,block_size,eta_c,c4_entries,row_difference_samples,rank_capped_relation_rows,weight3_relation_rows_raw,weight3_noise,min_bits,verdict,num_blockers
c2_design_smallq,7,513,512,4096,1,3.814697265625e-06,513,4302305280,0,0,1.144404086513998e-05,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,1.52587890625e-05,513,4302305280,0,0,4.577555228497359e-05,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,6.103515625e-05,513,4302305280,0,0,0.00018309243054329523,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.000244140625,513,4302305280,0,0,0.000732213278549982,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.001,513,4302305280,0,0,0.0029965013611110702,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.005,513,4302305280,0,0,0.014912670138888988,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.01,513,4302305280,0,0,0.029651361111111264,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.02,513,4302305280,0,0,0.05861088888888886,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,1,0.05,513,4302305280,0,0,0.14142013888888894,0.054,reject-for-current-security-claim,9
c2_design_smallq,7,513,512,4096,2,3.814697265625e-06,2049,17184061440,6291456,58720256,1.144404086513998e-05,27.00563553646086,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,1.52587890625e-05,2049,17184061440,6291456,58720256,4.577555228497359e-05,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,6.103515625e-05,2049,17184061440,6291456,58720256,0.00018309243054329523,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.000244140625,2049,17184061440,6291456,58720256,0.000732213278549982,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.001,2049,17184061440,6291456,58720256,0.0029965013611110702,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.005,2049,17184061440,6291456,58720256,0.014912670138888988,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.01,2049,17184061440,6291456,58720256,0.029651361111111264,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.02,2049,17184061440,6291456,58720256,0.05861088888888886,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,2,0.05,2049,17184061440,6291456,58720256,0.14142013888888894,27.011271140999146,reject-for-current-security-claim,11
c2_design_smallq,7,513,512,4096,3,3.814697265625e-06,9747,81743800320,37822464,2235727872,1.144404086513998e-05,27.00563553646086,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,1.52587890625e-05,9747,81743800320,37822464,2235727872,4.577555228497359e-05,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,6.103515625e-05,9747,81743800320,37822464,2235727872,0.00018309243054329523,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.000244140625,9747,81743800320,37822464,2235727872,0.000732213278549982,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.001,9747,81743800320,37822464,2235727872,0.0029965013611110702,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.005,9747,81743800320,37822464,2235727872,0.014912670138888988,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.01,9747,81743800320,37822464,2235727872,0.029651361111111264,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.02,9747,81743800320,37822464,2235727872,0.05861088888888886,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,3,0.05,9747,81743800320,37822464,2235727872,0.14142013888888894,27.011271140999146,reject-for-current-security-claim,11
c2_design_smallq,7,513,512,4096,4,3.814697265625e-06,51201,429400258560,207618048,83676364800,1.144404086513998e-05,27.00563553646086,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,1.52587890625e-05,51201,429400258560,207618048,83676364800,4.577555228497359e-05,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,6.103515625e-05,51201,429400258560,207618048,83676364800,0.00018309243054329523,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.000244140625,51201,429400258560,207618048,83676364800,0.000732213278549982,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.001,51201,429400258560,207618048,83676364800,0.0029965013611110702,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.005,51201,429400258560,207618048,83676364800,0.014912670138888988,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.01,51201,429400258560,207618048,83676364800,0.029651361111111264,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.02,51201,429400258560,207618048,83676364800,0.05861088888888886,27.011271140999146,reject-for-current-security-claim,12
c2_design_smallq,7,513,512,4096,4,0.05,51201,429400258560,207618048,83676364800,0.14142013888888894,27.011271140999146,reject-for-current-security-claim,11
