D,k,A,w0,eta_max_for_correctness,required_n_clean_subset,expansion_key_entries_approx
1,1,1,4,0.0125,7054,99546050
1,2,1,9,0.0055555556,15926,761007987
1,3,1,16,0.003125,28347,3214436416
2,1,1,4,0.00078125,113521,25774488968
2,2,1,9,6.8587106e-05,1293535,5019706149888
2,3,1,16,1.2207031e-05,7268131,211302971077696
3,1,1,4,3.0517578e-06,29072656,1690438770079298
3,2,1,9,1.0453758e-08,8487171737,216096252330917821932
3,3,1,16,1.8626451e-10,476327115447,907550083644049280962816
4,1,1,4,4.6566129e-11,1905308461921,7260400670143154647868168
4,2,1,9,2.4284679e-16,365344915747075008,400430722386712010644738617217050243
4,3,1,16,4.3368087e-20,2045809383232424640512,16741344130087334839431263521902389123612676
